transaction_id,created_at_UTC,user_phone,amount_paid_cents,zip_code,spot_id
1,2022-02-03 08:59:46,(674) 384-2776,9 065,30006,5
2,2021-09-02 15:55:02,1-251-843-1844,6 844,23841,5
3,2022-05-11 11:04:50,1-451-684-9420,9 446,482219,9
4,2021-01-24 17:05:12,1-658-836-8233,660,15537,8
5,2020-11-22 08:13:02,(481) 946-2170,5 714,221573,11
6,2021-08-27 16:24:06,(771) 647-7413,8 822,66352,3
7,2022-10-10 13:38:37,1-928-938-1403,4 526,354135,5
8,2022-07-18 02:22:57,1-903-517-7431,5 284,563958,8
9,2021-08-26 14:12:47,(774) 472-3583,3 413,41744-248,11
10,2021-12-17 18:35:16,(392) 515-2956,182,38402,9
11,2022-01-18 01:39:55,1-458-205-4740,7 514,5548 QD,10
12,2021-02-14 12:32:25,1-402-986-7332,8 852,495724,6
13,2021-05-25 18:05:16,1-401-463-8257,8 564,8555,2
14,2022-08-19 17:53:29,1-534-303-3418,7 371,1214,4
15,2021-07-29 12:11:33,1-551-774-1645,1 080,2355,8
16,2022-07-18 03:29:53,1-880-293-6664,1 229,34564,8
17,2022-04-24 21:22:15,(585) 824-2523,1 435,31202,10
18,2022-02-09 23:11:16,(587) 827-2017,8 276,04534,12
19,2022-06-01 22:02:17,1-412-728-9841,4 711,06417,12
20,2021-01-22 12:25:23,(927) 106-5565,5 413,88426,5
21,2021-12-24 00:31:07,(432) 511-1688,7 426,75311,7
22,2022-03-26 16:20:38,1-826-278-7042,6 068,41371,6
23,2021-03-03 08:27:24,1-592-285-8035,4 973,84665,14
24,2021-11-26 11:47:29,1-883-737-2324,1 153,f1T 8T1,1
25,2022-02-25 16:13:23,(865) 455-9152,6 508,3868,3
26,2020-11-20 17:23:39,(537) 788-5572,4 280,307248,2
27,2021-04-19 22:44:09,1-608-367-6385,9 347,6723,6
28,2021-11-24 15:54:53,1-504-879-3332,2 552,33391,12
29,2022-09-08 04:49:37,(186) 250-5856,6 662,50104,8
30,2021-08-02 09:59:22,(321) 376-5864,3 867,08217,5
31,2020-12-21 07:22:32,(837) 537-9128,1 379,10125,5
32,2022-10-28 03:01:44,(248) 587-6867,7 858,450829,1
33,2021-05-02 07:34:16,(772) 323-4644,7 530,54703,6
34,2022-05-13 02:18:51,(295) 868-2133,178,6682,7
35,2021-06-05 10:45:57,(945) 455-2656,5 877,402585,9
36,2022-08-25 05:46:24,1-156-735-8407,5 651,2182,4
37,2020-12-06 11:59:32,(262) 526-6657,1 929,4021,5
38,2022-08-07 06:17:25,1-131-688-1543,5 531,236123,8
39,2021-10-28 16:30:15,1-760-653-3122,7 430,422542,5
40,2022-09-19 07:00:51,(550) 547-1311,2 146,31917,3
41,2022-02-07 07:25:44,(327) 834-3842,4 529,22744,4
42,2021-03-26 23:38:07,1-442-914-7946,695,1150,8
43,2022-06-20 10:25:17,1-177-549-5623,7 882,77163,2
44,2021-09-29 16:35:23,(388) 375-1128,6 197,693284,2
45,2021-01-02 03:32:50,(856) 619-6454,1 123,42294,11
46,2021-04-20 09:53:25,(783) 647-1635,5 375,6741,8
47,2021-10-05 11:56:14,1-713-582-4473,9 996,2847,11
48,2022-09-21 03:08:00,1-287-461-7816,9 870,H8P 1P5,15
49,2021-01-30 14:01:32,1-715-864-5096,4 908,2774,6
50,2022-07-29 19:41:49,1-348-271-1628,5 874,43718-87634,5
51,2021-06-19 21:08:03,(614) 733-1884,1 579,33334-21458,8
52,2021-12-15 03:33:03,(467) 777-5875,6 472,06480,3
53,2021-08-15 20:03:02,1-846-281-8183,650,2442,11
54,2022-01-01 12:09:21,(571) 631-9325,9 486,19961,6
55,2021-03-22 10:39:07,(318) 915-8658,6 078,27377,9
56,2022-09-13 22:55:03,1-172-542-8287,3 395,4590,7
57,2022-07-09 20:40:19,(566) 874-2017,8 389,792314,7
58,2022-10-07 20:49:49,1-950-745-7731,1 918,10913,7
59,2022-08-14 14:41:11,(781) 789-1363,2 915,1752,15
60,2021-01-26 07:17:06,1-217-189-8927,2 562,866412,8
61,2021-10-08 16:49:55,(523) 477-8550,6 148,7743,5
62,2022-09-27 08:17:12,1-566-691-8175,8 023,7528,13
63,2022-08-10 07:31:16,1-732-554-1398,8 376,74588,11
64,2021-09-30 08:32:23,(265) 369-1211,316,86127,5
65,2022-01-02 22:59:27,1-722-594-5760,4 977,41788,11
66,2022-10-12 19:10:20,1-532-795-1663,8 624,13411,5
67,2021-06-06 16:21:34,1-796-488-9782,6 560,5347,12
68,2021-11-23 14:04:34,1-821-148-2456,5 532,364776,7
69,2021-10-14 06:22:40,(663) 714-6037,1 971,16781-57414,4
70,2022-04-29 14:50:53,1-535-818-4134,2 120,51252,12
71,2021-09-29 15:23:21,1-516-556-0291,2 729,15885-21454,15
72,2022-07-13 07:16:41,(850) 238-3488,3 719,83X 6P6,8
73,2021-02-10 04:58:14,1-541-614-7188,3 194,62312,9
74,2022-10-30 13:57:15,(248) 538-5439,2 269,32899,5
75,2021-06-07 08:27:17,(783) 315-8616,8 044,T6P 6J2,2
76,2022-10-04 12:34:59,(818) 286-2063,3 244,181586,5
77,2021-01-07 08:26:39,(686) 333-7722,9 518,227361,6
78,2022-05-15 14:11:33,(164) 497-2564,1 843,HC5 1GY,2
79,2022-02-26 23:20:02,(289) 367-2345,9 309,27683,15
80,2021-11-16 00:50:13,1-472-278-7952,9 337,32727417,12
81,2021-05-06 03:27:49,(438) 731-6572,7 886,348356,9
82,2022-03-03 19:14:24,(113) 397-3815,1 506,8244,3
83,2021-01-14 16:27:08,(857) 867-2214,6 505,14692,1
84,2021-08-19 04:14:57,1-544-998-6875,3 305,40601,3
85,2021-03-14 13:59:18,1-302-677-4987,6 308,70551,7
86,2022-03-26 16:11:42,1-858-885-9451,3 135,57511,13
87,2022-09-07 10:19:06,(262) 371-8347,3 418,251536,1
88,2022-01-10 22:48:00,(728) 684-2068,3 766,491817,12
89,2022-01-07 02:37:42,(458) 554-9231,5 379,42004,2
90,2021-08-23 00:18:26,(301) 307-6782,5 839,05837,3
91,2022-09-03 19:47:36,(881) 548-5835,385,222392,11
92,2020-11-27 10:20:18,(692) 601-5378,9 014,53605,14
93,2021-01-31 19:34:53,1-617-700-5132,5 628,13889,1
94,2021-09-07 01:28:47,1-592-194-8757,2 189,EG7I 8UF,11
95,2021-05-04 20:38:58,(652) 526-8661,9 461,326675,4
96,2021-11-02 20:33:09,1-757-382-5654,5 864,5112,10
97,2022-10-14 21:35:50,1-456-116-7178,318,72808,2
98,2021-07-20 05:56:15,(518) 688-6772,9 846,IC8J 4PN,7
99,2021-01-14 05:57:05,1-354-593-8062,6 097,YU03 6YC,2
100,2020-11-28 13:18:49,(388) 472-5458,9 255,99266,11
101,2021-12-13 03:22:09,(414) 121-4364,7 551,132076,2
102,2022-03-23 16:44:32,(881) 227-6461,8 268,21840,8
103,2022-06-30 06:20:25,(699) 790-6246,6 436,01631,5
104,2021-06-25 11:09:20,1-695-557-8415,267,77-451,11
